                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94918,                 2.6549,                 1.3135,                0.00866,                0.57338,                 0.2699,                0.18231,                0.90064,                 3.1072,                 1.2563,             0.00025005,             0.00025005,             0.00025005
                      2,                0.96376,                 1.5212,                 1.2869,                0.91112,                0.27616,                0.32056,                0.23475,                0.96286,                 2.6734,                  1.366,             0.00050654,             0.00050654,             0.00050654
                      3,                0.96646,                 1.3803,                 1.2959,                0.76621,                0.22388,                 0.4622,                0.26839,                 1.2865,                  2.682,                 1.6537,             0.00075246,             0.00075246,             0.00075246
                      4,                 1.0296,                 1.3704,                 1.3125,                0.84973,                0.26922,                0.47737,                0.30799,                 1.1248,                 2.6023,                 1.5035,             0.00098783,             0.00098783,             0.00098783
                      5,                0.98573,                 1.2749,                 1.2859,                0.70536,                0.35827,                 0.6215,                0.36617,                 1.3029,                 2.5077,                 1.7539,              0.0012126,              0.0012126,              0.0012126
                      6,                 1.0566,                 1.3168,                 1.3259,                0.66481,                0.32033,                0.43166,                   0.27,                 1.3758,                  2.765,                 1.9266,              0.0014269,              0.0014269,              0.0014269
                      7,                 1.0612,                  1.294,                 1.3248,                0.66995,                0.59008,                0.64033,                0.39043,                 1.3662,                 2.0816,                 1.6589,               0.001469,               0.001469,               0.001469
                      8,                  1.036,                 1.2766,                 1.3341,                0.71102,                0.61574,                0.63831,                0.37524,                 1.4427,                 2.0314,                 1.8537,               0.001469,               0.001469,               0.001469
                      9,                 1.0509,                 1.2256,                 1.3424,                0.70262,                0.69228,                0.70545,                0.45713,                 1.1937,                 2.1298,                 1.6332,               0.001436,               0.001436,               0.001436
                     10,                 1.0066,                 1.2014,                 1.3352,                0.88033,                0.63135,                0.75196,                 0.5359,                 1.1204,                 1.5856,                 1.5801,              0.0014029,              0.0014029,              0.0014029
                     11,                0.99848,                 1.1338,                 1.2924,                0.76519,                0.64152,                0.72047,                 0.4551,                 1.3167,                 1.6754,                 1.6318,              0.0013699,              0.0013699,              0.0013699
                     12,                0.95829,                 1.0543,                 1.2619,                0.66582,                0.54083,                0.59532,                 0.3651,                 1.4566,                 2.0254,                 1.7568,              0.0013369,              0.0013369,              0.0013369
                     13,                0.94606,                 1.0322,                 1.2694,                0.77049,                0.64366,                 0.7264,                0.47868,                 1.3103,                 1.4909,                 1.6769,              0.0013039,              0.0013039,              0.0013039
                     14,                0.90097,                 1.0129,                 1.2385,                0.79097,                0.71815,                0.78392,                0.53475,                  1.114,                 1.3652,                 1.4517,              0.0012709,              0.0012709,              0.0012709
                     15,                0.88588,                 0.9844,                 1.2236,                 0.8723,                0.71153,                0.80382,                0.55896,                 1.0504,                 1.2169,                 1.4023,              0.0012379,              0.0012379,              0.0012379
